ID;Fabrica;Activo;Tecnología;Pais
544;Çepas;1;Almacen productos quimicos;Turquía
545;Colombia;1;Almacen productos quimicos;Colombia
546;Thüringen;1;Almacen productos quimicos;Alemania
547;Polska;1;Almacen productos quimicos;Polonia
548;Senica;1;Almacen productos quimicos;Eslovaquia
549;Kaluga;1;Almacen productos quimicos;Russia
550;Czech;1;Almacen productos quimicos;Rep.Checa
512;Laser Brandenburg;1;Almacen de recambios;Rep.Checa
552;Puebla;1;Almacen productos quimicos;México
553;South Carolina;1;Almacen productos quimicos;EEUU
554;Argentina;1;Almacen productos quimicos;Argentina
555;Paraná;1;Almacen productos quimicos;Argentina
556;Campinas;1;Almacen productos quimicos;Brasil
557;Dongguan;1;Almacen productos quimicos;China
558;Bridge Street;1;Almacen productos quimicos;UK
559;Newton Aycliffe;1;Almacen productos quimicos;UK
560;Popes Lane;1;Almacen productos quimicos;UK
561;Darlaston;1;Almacen productos quimicos;UK
562;Cannock;1;Almacen productos quimicos;Holanda
563;Barcelona;1;Residuos productos quimicos;España
564;Burgos;1;Residuos productos quimicos;España
565;Tarragona;1;Residuos productos quimicos;España
566;Valencia;1;Residuos productos quimicos;España
567;Portugal;1;Residuos productos quimicos;Portugal
568;Union Street;1;Residuos productos quimicos;UK
551;Laser Brandenburg;1;Almacen productos quimicos;Rep.Checa
584;Laser Brandenburg;1;Residuos productos quimicos;Rep.Checa
617;Laser Brandenburg;1;Carretilla;Rep.Checa
572;Navarra;1;Residuos productos quimicos;España
573;Galicia;1;Residuos productos quimicos;España
650;Laser Brandenburg;1;Coil to Coil;Rep.Checa
107;Laser Valencia;1;Almacén de Materia Prima;España
576;Baja California;1;Residuos productos quimicos;EEUU
577;Çepas;1;Residuos productos quimicos;Turquía
578;Colombia;1;Residuos productos quimicos;Colombia
579;Thüringen;1;Residuos productos quimicos;Alemania
580;Polska;1;Residuos productos quimicos;Polonia
581;Senica;1;Residuos productos quimicos;Eslovaquia
582;Kaluga;1;Residuos productos quimicos;Russia
583;Czech;1;Residuos productos quimicos;Rep.Checa
146;Laser Valencia;1;Almacén de Producto Terminado;España
585;Puebla;1;Residuos productos quimicos;México
586;South Carolina;1;Residuos productos quimicos;EEUU
587;Argentina;1;Residuos productos quimicos;Argentina
