ID;Planta;Año;Mes;Empleados Propios;Empleados Ajenos;Empleados ETTS;Empleados Subcontrata;Horas Presencia Efectiva Propios;Horas Presencia Efectiva Subcontratados;Horas Presencia Efectiva ETTs;Horas Formacion Seguridad Propios;Horas Formacion Seguridad ETTs;Horas Formacion General Propios;Empleados Propios - indefinido;Empleados Propios - duración determinada
4637;Campinas;2020;DIC;154;5;2;3;1.828.430.000.000.000.000;50.580.000.000.000.000;33.720.000.000.000.000;0.50000000000000;0.00000000000000;6.400.000.000.000.000;152;0
4638;Paraná;2020;DIC;164;2;0;2;2.388.975.000.000.000.000;32.640.000.000.000.000;26.850.000.000.000.000;3.517.000.000.000.000;0.00000000000000;35.800.000.000.000.000;163;0
4639;Brasil HQ;2020;DIC;60;2;2;0;937.545.000.000.000.000;0.00000000000000;35.200.000.000.000.000;0.00000000000000;0.00000000000000;8.800.000.000.000.000;60;0
4640;Resende;2020;DIC;59;0;0;0;911.690.000.000.000.000;0.00000000000000;0.00000000000000;200.000.000.000.000;0.00000000000000;400.000.000.000.000;59;0
4641;Pune;2020;DIC;291;85;85;0;5.853.200.000.000.000.000;0.00000000000000;2.496.700.000.000.000.000;0.00000000000000;0.00000000000000;8.000.000.000.000.000;291;0
4642;Dongguan;2020;DIC;31;0;0;0;569.832.000.000.000.000;0.00000000000000;0.00000000000000;5.000.000.000.000.000;0.00000000000000;9.200.000.000.000.000;11;20
4643;Laser Brandenburg;2020;DIC;0;0;0;0;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0;0
4331;Barcelona;2020;AGO;137;29;5;24;950.240.000.000.000.000;497.130.000.000.000.000;105.210.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;127;6
4645;GCF;2020;DIC;177;0;0;0;2.185.850.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;11.500.000.000.000.000;184;0
4646;Asturias;2020;DIC;24;20;20;0;206.880.000.000.000.000;0.00000000000000;281.700.000.000.000.000;0.00000000000000;0.00000000000000;600.000.000.000.000;24;0
4647;Solar Steel;2020;DIC;47;1;1;0;568.800.000.000.000.000;0.00000000000000;14.050.000.000.000.000;0.00000000000000;0.00000000000000;7.000.000.000.000.000;38;9
4648;Solar Construction;2020;DIC;0;0;0;0;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0;0
4649;Road Engineering;2020;DIC;14;2;2;0;171.200.000.000.000.000;0.00000000000000;28.100.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;13;1
4650;Laser Valencia;2020;DIC;22;2;2;0;241.550.000.000.000.000;0.00000000000000;34.950.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;22;0
4651;São Leopoldo;2020;DIC;2;0;0;0;35.200.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;2;0
4652;Changshu;2020;DIC;149;98;98;0;3.182.750.000.000.000.000;0.00000000000000;1.730.300.000.000.000.000;0.00000000000000;0.00000000000000;28.600.000.000.000.000;0;149
4653;Shenyang;2020;DIC;122;28;28;0;2.495.800.000.000.000.000;0.00000000000000;489.500.000.000.000.000;0.00000000000000;0.00000000000000;1.300.000.000.000.000;0;117
4654;Chongqing;2020;DIC;46;12;12;0;1.171.750.000.000.000.000;0.00000000000000;223.200.000.000.000.000;4.000.000.000.000.000;2.400.000.000.000.000;8.850.000.000.000.000;0;46
4655;Loudi;2020;DIC;60;31;31;0;1.714.050.000.000.000.000;0.00000000000000;584.600.000.000.000.000;22.170.000.000.000.000;0.00000000000000;31.170.000.000.000.000;0;60
4656;Nitra;2020;DIC;24;8;0;7;216.600.000.000.000.000;115.500.000.000.000.000;11.500.000.000.000.000;0.00000000000000;0.00000000000000;1.200.000.000.000.000;8;15
4657;Laser Zaragoza;2020;DIC;13;16;16;0;164.350.000.000.000.000;0.00000000000000;208.180.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;13;0
4658;GMH Belgium;2020;DIC;7;0;0;0;60.420.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;7;0
4659;GMH Stålteknik;2020;DIC;35;0;0;0;534.097.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;34;0
4660;GMH CSS;2020;DIC;36;0;0;0;200.700.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;500.000.000.000.000;13;0
4661;GMH Czech;2020;DIC;2;0;0;0;33.600.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;2;0
4662;GMH Denmark;2020;DIC;18;0;0;0;308.050.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;7.200.000.000.000.000;20;0
4663;GMH Finland;2020;DIC;39;0;0;0;621.450.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;38;0
4664;GMH Germany;2020;DIC;198;4;4;0;2.205.125.000.000.000.000;0.00000000000000;45.355.000.000.000.000;0.00000000000000;0.00000000000000;9.180.000.000.000.000;186;6
4665;GMH HQ;2020;DIC;9;0;0;0;31.500.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;2;0
4666;GMH Hungary;2020;DIC;9;0;0;0;102.400.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;9;0
4667;GMH Netherlands;2020;DIC;26;0;0;0;361.600.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;7.200.000.000.000.000;27;1
4668;GMH Norway;2020;DIC;18;0;0;0;228.850.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;18;0
4669;GMH Poland;2020;DIC;11;0;0;0;176.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0;0
4670;GMH Romania;2020;DIC;369;0;0;0;3.838.700.000.000.000.000;0.00000000000000;0.00000000000000;59.200.000.000.000.000;0.00000000000000;59.200.000.000.000.000;317;65
4671;GMH Russia;2020;DIC;96;0;0;0;1.528.200.000.000.000.000;0.00000000000000;0.00000000000000;1.600.000.000.000.000;0.00000000000000;8.000.000.000.000.000;96;0
4672;GMH Slovakia;2020;DIC;4;0;0;0;46.960.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;4;0
4673;GMH Sweden;2020;DIC;52;0;0;0;932.377.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;3.200.000.000.000.000;58;0
4674;GMH UK;2020;DIC;31;1;1;0;468.250.000.000.000.000;0.00000000000000;11.200.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;39;0
4675;Suports España;2020;DIC;9;0;0;0;93.600.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;6;3
4676;Kredit;2020;DIC;189;21;21;0;2.106.400.000.000.000.000;0.00000000000000;355.000.000.000.000.000;3.200.000.000.000.000;0.00000000000000;5.600.000.000.000.000;157;32
4677;Lampe;2020;DIC;6;0;0;0;107.250.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;6;0
4678;CSI;2020;DIC;25;0;0;0;342.480.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;25;0
4679;Sogeisa;2020;DIC;41;0;0;0;512.640.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;41;0
4680;Kaufmann;2020;DIC;15;0;0;0;186.660.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;14;1
4681;Addimen;2020;DIC;3;0;0;0;48.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;3;0
4682;Flinsa;2020;DIC;129;18;18;0;1.390.010.000.000.000.000;0.00000000000000;220.280.000.000.000.000;19.160.000.000.000.000;0.00000000000000;19.990.000.000.000.000;118;11
4683;Barcelona;2021;ENE;195;39;23;16;2.738.860.000.000.000.000;227.200.000.000.000.000;300.480.000.000.000.000;0.00000000000000;0.00000000000000;2.700.000.000.000.000;189;4
