ID;Fabrica;Activo;Tecnología;Pais;lat;lon
337;Valencia;1;Maquinaria Auxiliar;España;40.46;-3.74
338;Portugal;1;Maquinaria Auxiliar;Portugal;39.39;-8.22
339;Union Street;1;Maquinaria Auxiliar;UK;55.37;-3.43
228;Asturias;1;Área de embalado;España;40.46;-3.74
267;Asturias;1;Instalaciones exteriores y auxiliares;España;40.46;-3.74
306;Asturias;1;Mantenimiento;España;40.46;-3.74
343;Navarra;1;Maquinaria Auxiliar;España;40.46;-3.74
344;Galicia;1;Maquinaria Auxiliar;España;40.46;-3.74
345;Asturias;1;Maquinaria Auxiliar;España;40.46;-3.74
384;Asturias;1;Oficinas administrativas;España;40.46;-3.74
347;Baja California;1;Maquinaria Auxiliar;EEUU;37.09;-95.71
348;Çepas;1;Maquinaria Auxiliar;Turquía;38.96;35.24
349;Colombia;1;Maquinaria Auxiliar;Colombia;4.57;-74.29
350;Thüringen;1;Maquinaria Auxiliar;Alemania;511.656;104.515
351;Polska;1;Maquinaria Auxiliar;Polonia;51.91;19.14
352;Senica;1;Maquinaria Auxiliar;Eslovaquia;48.66;19.69
353;Kaluga;1;Maquinaria Auxiliar;Russia;61.52;105.31
354;Czech;1;Maquinaria Auxiliar;Rep.Checa;49.81;15.47
423;Asturias;1;Puente Grúa;España;40.46;-3.74
356;Puebla;1;Maquinaria Auxiliar;México;23.63;-102.55
357;South Carolina;1;Maquinaria Auxiliar;EEUU;37.09;-95.71
358;Argentina;1;Maquinaria Auxiliar;Argentina;-38.416.097;-63.616.672
359;Paraná;1;Maquinaria Auxiliar;Argentina;-38.416.097;-63.616.672
360;Campinas;1;Maquinaria Auxiliar;Brasil;-14.23;-51.92
361;Dongguan;1;Maquinaria Auxiliar;China;35.86;104.19
463;Asturias;1;Carpinteria;España;40.46;-3.74
363;Changshu;1;Maquinaria Auxiliar;China;35.86;104.19
364;Shenyang;1;Maquinaria Auxiliar;China;35.86;104.19
365;Chongqing;1;Maquinaria Auxiliar;China;35.86;104.19
366;Loudi;1;Maquinaria Auxiliar;China;35.86;104.19
367;GCF;1;Maquinaria Auxiliar;Rep.Checa;49.81;15.47
368;Bridge Street;1;Maquinaria Auxiliar;UK;55.37;-3.43
369;Newton Aycliffe;1;Maquinaria Auxiliar;UK;55.37;-3.43
370;Popes Lane;1;Maquinaria Auxiliar;UK;55.37;-3.43
371;Darlaston;1;Maquinaria Auxiliar;UK;55.37;-3.43
372;Cannock;1;Maquinaria Auxiliar;Holanda;52.13;5.29
373;Barcelona;1;Oficinas administrativas;España;40.46;-3.74
374;Burgos;1;Oficinas administrativas;España;40.46;-3.74
375;Tarragona;1;Oficinas administrativas;España;40.46;-3.74
376;Valencia;1;Oficinas administrativas;España;40.46;-3.74
377;Portugal;1;Oficinas administrativas;Portugal;39.39;-8.22
378;Union Street;1;Oficinas administrativas;UK;55.37;-3.43
502;Asturias;1;Almacen de recambios;España;40.46;-3.74
541;Asturias;1;Almacen productos quimicos;España;40.46;-3.74
574;Asturias;1;Residuos productos quimicos;España;40.46;-3.74
382;Navarra;1;Oficinas administrativas;España;40.46;-3.74
383;Galicia;1;Oficinas administrativas;España;40.46;-3.74
607;Asturias;1;Carretilla;España;40.46;-3.74
640;Asturias;1;Coil to Coil;España;40.46;-3.74
386;Baja California;1;Oficinas administrativas;EEUU;37.09;-95.71
387;Çepas;1;Oficinas administrativas;Turquía;38.96;35.24
388;Colombia;1;Oficinas administrativas;Colombia;4.57;-74.29
389;Thüringen;1;Oficinas administrativas;Alemania;511.656;104.515
390;Polska;1;Oficinas administrativas;Polonia;51.91;19.14
391;Senica;1;Oficinas administrativas;Eslovaquia;48.66;19.69
392;Kaluga;1;Oficinas administrativas;Russia;61.52;105.31
393;Czech;1;Oficinas administrativas;Rep.Checa;49.81;15.47
662;Asturias;1;Soldadura Manual;España;40.46;-3.74
395;Puebla;1;Oficinas administrativas;México;23.63;-102.55
396;South Carolina;1;Oficinas administrativas;EEUU;37.09;-95.71
397;Argentina;1;Oficinas administrativas;Argentina;-38.416.097;-63.616.672
398;Paraná;1;Oficinas administrativas;Argentina;-38.416.097;-63.616.672
399;Campinas;1;Oficinas administrativas;Brasil;-14.23;-51.92
400;Dongguan;1;Oficinas administrativas;China;35.86;104.19
